Cluster_Name,Node_Group,Core_Group,Node_Template,Server_Template,EnableHA,NumVerticalInstances
DCCDC_ONLINE,ONLINENodeGroup,CDCCoreGroup,sepa1tt08Node01,TEMP_ONLINE_sepa1tt08Node01,TRUE,1
DCRCDC_ONLINE,ONLINENodeGroup,RCDCCoreGroup,sepa1tt08Node01,TEMP_ONLINE_sepa1tt08Node01,TRUE,1
DCPDC_ONLINE,ONLINENodeGroup,PDCCoreGroup,sepa1tt08Node01,TEMP_ONLINE_sepa1tt08Node01,TRUE,1
DCODC_ONLINE,ONLINENodeGroup,ODCCoreGroup,sepa1tt08Node01,TEMP_ONLINE_sepa1tt08Node01,TRUE,1
DCGRP_ONLINE,ONLINENodeGroup,GRCoreGroup,sepa1tt08Node01,TEMP_ONLINE_sepa1tt08Node01,TRUE,1
DCMH_ONLINE,ONLINENodeGroup,MHCoreGroup,sepa1tt08Node01,TEMP_ONLINE_sepa1tt08Node01,TRUE,1
DCBDC_ONLINE,ONLINENodeGroup,BDCCoreGroup,sepa1tt08Node01,TEMP_ONLINE_sepa1tt08Node01,TRUE,1
DCCDC_PROCESS,PROCESSNodeGroup,CDCCoreGroup,sepa2tt01Node01,TEMP_PROCESS_sepa2tt01Node01,TRUE,1
DCRCDC_PROCESS,PROCESSNodeGroup,RCDCCoreGroup,sepa2tt01Node01,TEMP_PROCESS_sepa2tt01Node01,TRUE,1
DCPDC_PROCESS,PROCESSNodeGroup,PDCCoreGroup,sepa2tt01Node01,TEMP_PROCESS_sepa2tt01Node01,TRUE,1
DCODC_PROCESS,PROCESSNodeGroup,ODCCoreGroup,sepa2tt01Node01,TEMP_PROCESS_sepa2tt01Node01,TRUE,1
DCGRP_PROCESS,PROCESSNodeGroup,GRCoreGroup,sepa2tt01Node01,TEMP_PROCESS_sepa2tt01Node01,TRUE,1
DCMH_PROCESS,PROCESSNodeGroup,MHCoreGroup,sepa2tt01Node01,TEMP_PROCESS_sepa2tt01Node01,TRUE,1
DCBDC_PROCESS,PROCESSNodeGroup,BDCCoreGroup,sepa2tt01Node01,TEMP_PROCESS_sepa2tt01Node01,TRUE,1
DCCDC_SIB,PROCESSNodeGroup,CDCCoreGroup,sepa2tt01Node01,TEMP_SIB_sepa2tt01Node01,TRUE,1
DCRCDC_SIB,PROCESSNodeGroup,RCDCCoreGroup,sepa2tt01Node01,TEMP_SIB_sepa2tt01Node01,TRUE,1
DCPDC_SIB,PROCESSNodeGroup,PDCCoreGroup,sepa2tt01Node01,TEMP_SIB_sepa2tt01Node01,TRUE,1
DCODC_SIB,PROCESSNodeGroup,ODCCoreGroup,sepa2tt01Node01,TEMP_SIB_sepa2tt01Node01,TRUE,1
DCGRP_SIB,PROCESSNodeGroup,GRCoreGroup,sepa2tt01Node01,TEMP_SIB_sepa2tt01Node01,TRUE,1
DCMH_SIB,PROCESSNodeGroup,MHCoreGroup,sepa2tt01Node01,TEMP_SIB_sepa2tt01Node01,TRUE,1
DCBDC_SIB,PROCESSNodeGroup,BDCCoreGroup,sepa2tt01Node01,TEMP_SIB_sepa2tt01Node01,TRUE,1
IBMCLUSTER,PROCESSNodeGroup,BDCCoreGroup, ,n/a,TRUE,1
IBMCLUSTER1,PROCESSNodeGroup,BDCCoreGroup, , ,TRUE,1
IBMCLUSTER2,PROCESSNodeGroup,BDCCoreGroup,n/a, ,TRUE,1
IBMCLUSTER3,PROCESSNodeGroup,BDCCoreGroup,n/a,n/a,TRUE,1
