Cluster_Name,JNDI_Name,Delivery_Mode,Bus_Name,Queue_Name,Connect_Queue_Name
DCCDC_PROCESS,jms/EAIToWTSBoQueue,Application,WTS.CDC.BUS,EAIToWTSBoQueue,EAI.TO.OWTS.BO.CDC.QUEUE
DCCDC_PROCESS,jms/EAIToWTSDcQueue,Application,WTS.CDC.BUS,EAIToWTSDcQueue,EAI.TO.OWTS.DC.CDC.QUEUE
DCCDC_PROCESS,jms/WTSToEAIBoQueue,Application,WTS.CDC.BUS,WTSToEAIBoQueue,WTS.TO.IWTS.BO.CDC.QUEUE
DCCDC_PROCESS,jms/WTSToEAIDcQueue,Application,WTS.CDC.BUS,WTSToEAIDcQueue,WTS.TO.IWTS.DC.CDC.QUEUE
DCCDC_PROCESS,jms/RvsImportEAIBO,Application,WTS.CDC.BUS,RvsImportEAIBO,EAI.TO.OWTS.BO.CDC.QUEUE
DCCDC_PROCESS,jms/WASToWPSQueue,Application,WTS.CDC.BUS,WASToWPSQueue,WAS.TO.WPS.QUEUE
DCCDC_PROCESS,jms/WASToWPSDOSTQueue,Application,WTS.CDC.BUS,WASToWPSDOSTQueue,WAS.TO.WPS.DOST.QUEUE
DCCDC_PROCESS,jms/WASToWPSDOBOQueue,Application,WTS.CDC.BUS,WASToWPSDOBOQueue,WAS.TO.WPS.DOBO.QUEUE
DCRCDC_PROCESS,jms/EAIToWTSBoQueue,Application,WTS.RCDC.BUS,EAIToWTSBoQueue,EAI.TO.OWTS.BO.RCDC.QUEUE
DCRCDC_PROCESS,jms/EAIToWTSDcQueue,Application,WTS.RCDC.BUS,EAIToWTSDcQueue,EAI.TO.OWTS.DC.RCDC.QUEUE
DCRCDC_PROCESS,jms/WTSToEAIBoQueue,Application,WTS.RCDC.BUS,WTSToEAIBoQueue,WTS.TO.IWTS.BO.RCDC.QUEUE
DCRCDC_PROCESS,jms/WTSToEAIDcQueue,Application,WTS.RCDC.BUS,WTSToEAIDcQueue,WTS.TO.IWTS.DC.RCDC.QUEUE
DCRCDC_PROCESS,jms/RvsImportEAIBO,Application,WTS.RCDC.BUS,RvsImportEAIBO,EAI.TO.OWTS.BO.RCDC.QUEUE
DCRCDC_PROCESS,jms/WASToWPSQueue,Application,WTS.RCDC.BUS,WASToWPSQueue,WAS.TO.WPS.QUEUE
DCRCDC_PROCESS,jms/WASToWPSDOSTQueue,Application,WTS.RCDC.BUS,WASToWPSDOSTQueue,WAS.TO.WPS.DOST.QUEUE
DCRCDC_PROCESS,jms/WASToWPSDOBOQueue,Application,WTS.RCDC.BUS,WASToWPSDOBOQueue,WAS.TO.WPS.DOBO.QUEUE
DCPDC_PROCESS,jms/EAIToWTSBoQueue,Application,WTS.PDC.BUS,EAIToWTSBoQueue,EAI.TO.OWTS.BO.PDC.QUEUE
DCPDC_PROCESS,jms/EAIToWTSDcQueue,Application,WTS.PDC.BUS,EAIToWTSDcQueue,EAI.TO.OWTS.DC.PDC.QUEUE
DCPDC_PROCESS,jms/WTSToEAIBoQueue,Application,WTS.PDC.BUS,WTSToEAIBoQueue,WTS.TO.IWTS.BO.PDC.QUEUE
DCPDC_PROCESS,jms/WTSToEAIDcQueue,Application,WTS.PDC.BUS,WTSToEAIDcQueue,WTS.TO.IWTS.DC.PDC.QUEUE
DCPDC_PROCESS,jms/RvsImportEAIBO,Application,WTS.PDC.BUS,RvsImportEAIBO,EAI.TO.OWTS.BO.PDC.QUEUE
DCPDC_PROCESS,jms/WASToWPSQueue,Application,WTS.PDC.BUS,WASToWPSQueue,WAS.TO.WPS.QUEUE
DCPDC_PROCESS,jms/WASToWPSDOSTQueue,Application,WTS.PDC.BUS,WASToWPSDOSTQueue,WAS.TO.WPS.DOST.QUEUE
DCPDC_PROCESS,jms/WASToWPSDOBOQueue,Application,WTS.PDC.BUS,WASToWPSDOBOQueue,WAS.TO.WPS.DOBO.QUEUE
DCODC_PROCESS,jms/EAIToWTSBoQueue,Application,WTS.ODC.BUS,EAIToWTSBoQueue,EAI.TO.OWTS.BO.ODC.QUEUE
DCODC_PROCESS,jms/EAIToWTSDcQueue,Application,WTS.ODC.BUS,EAIToWTSDcQueue,EAI.TO.OWTS.DC.ODC.QUEUE
DCODC_PROCESS,jms/WTSToEAIBoQueue,Application,WTS.ODC.BUS,WTSToEAIBoQueue,WTS.TO.IWTS.BO.ODC.QUEUE
DCODC_PROCESS,jms/WTSToEAIDcQueue,Application,WTS.ODC.BUS,WTSToEAIDcQueue,WTS.TO.IWTS.DC.ODC.QUEUE
DCODC_PROCESS,jms/RvsImportEAIBO,Application,WTS.ODC.BUS,RvsImportEAIBO,EAI.TO.OWTS.BO.ODC.QUEUE
DCODC_PROCESS,jms/WASToWPSQueue,Application,WTS.ODC.BUS,WASToWPSQueue,WAS.TO.WPS.QUEUE
DCODC_PROCESS,jms/WASToWPSDOSTQueue,Application,WTS.ODC.BUS,WASToWPSDOSTQueue,WAS.TO.WPS.DOST.QUEUE
DCODC_PROCESS,jms/WASToWPSDOBOQueue,Application,WTS.ODC.BUS,WASToWPSDOBOQueue,WAS.TO.WPS.DOBO.QUEUE
DCGRP_PROCESS,jms/EAIToWTSBoQueue,Application,WTS.GRP.BUS,EAIToWTSBoQueue,EAI.TO.OWTS.BO.GRP.QUEUE
DCGRP_PROCESS,jms/EAIToWTSDcQueue,Application,WTS.GRP.BUS,EAIToWTSDcQueue,EAI.TO.OWTS.DC.GRP.QUEUE
DCGRP_PROCESS,jms/WTSToEAIBoQueue,Application,WTS.GRP.BUS,WTSToEAIBoQueue,WTS.TO.IWTS.BO.GRP.QUEUE
