BusName,DesName,Fbus_Name,Qtype,Cluster
WTS.CDC.BUS,WAS.TO.WPS.QUEUE,na,Queue,DCCDC_SIB
WTS.CDC.BUS,WAS.TO.WPS.DOST.QUEUE,na,Queue,DCCDC_SIB
WTS.CDC.BUS,WAS.TO.WPS.DOBO.QUEUE,na,Queue,DCCDC_SIB
WTS.CDC.BUS,EAI.TO.OWTS.BO.CDC.QUEUE,na,Queue,DCCDC_SIB
WTS.CDC.BUS,EAI.TO.OWTS.DC.CDC.QUEUE,na,Queue,DCCDC_SIB
WTS.CDC.BUS,WTS.TO.IWTS.BO.CDC.QUEUE,na,Queue,DCCDC_SIB
WTS.CDC.BUS,WTS.TO.IWTS.DC.CDC.QUEUE,na,Queue,DCCDC_SIB
WTS.CDC.BUS,IWTS.BO.CDC,EAI_QM,Foreign,DCCDC_SIB
WTS.CDC.BUS,IWTS.DC.CDC,EAI_QM,Foreign,DCCDC_SIB
WTS.RCDC.BUS,WAS.TO.WPS.QUEUE,na,Queue,DCRCDC_SIB
WTS.RCDC.BUS,WAS.TO.WPS.DOST.QUEUE,na,Queue,DCRCDC_SIB
WTS.RCDC.BUS,WAS.TO.WPS.DOBO.QUEUE,na,Queue,DCRCDC_SIB
WTS.RCDC.BUS,EAI.TO.OWTS.BO.RCDC.QUEUE,na,Queue,DCRCDC_SIB
WTS.RCDC.BUS,EAI.TO.OWTS.DC.RCDC.QUEUE,na,Queue,DCRCDC_SIB
WTS.RCDC.BUS,WTS.TO.IWTS.BO.RCDC.QUEUE,na,Queue,DCRCDC_SIB
WTS.RCDC.BUS,WTS.TO.IWTS.DC.RCDC.QUEUE,na,Queue,DCRCDC_SIB
WTS.RCDC.BUS,IWTS.BO.RCDC,EAI_QM,Foreign,DCRCDC_SIB
WTS.RCDC.BUS,IWTS.DC.RCDC,EAI_QM,Foreign,DCRCDC_SIB
WTS.PDC.BUS,WAS.TO.WPS.QUEUE,na,Queue,DCPDC_SIB
WTS.PDC.BUS,WAS.TO.WPS.DOST.QUEUE,na,Queue,DCPDC_SIB
WTS.PDC.BUS,WAS.TO.WPS.DOBO.QUEUE,na,Queue,DCPDC_SIB
WTS.PDC.BUS,EAI.TO.OWTS.BO.PDC.QUEUE,na,Queue,DCPDC_SIB
WTS.PDC.BUS,EAI.TO.OWTS.DC.PDC.QUEUE,na,Queue,DCPDC_SIB
WTS.PDC.BUS,WTS.TO.IWTS.BO.PDC.QUEUE,na,Queue,DCPDC_SIB
WTS.PDC.BUS,WTS.TO.IWTS.DC.PDC.QUEUE,na,Queue,DCPDC_SIB
