Cluster_Name,JDBC_Name,Data_Source_Name,JNDI_Name,Authen_Alias,Database_Name,Server_Name_DS,Port_number_DS,Scope
DCCDC_ONLINE,DB2 Driver Provider CDC (XA),WTS_CDC,jdbc/wtsDS_Online,sewtsmn01DmgrNode01/wtscdc,wtscdc,sewtsdb01.cpall.co.th,50000,Cluster
DCCDC_ONLINE,DB2 Driver Provider CDC (XA),WTS_GR,jdbc/wtsDS_GR,sewtsmn01DmgrNode01/wtsgr,wtsgr,sewtsdb01.cpall.co.th,50000,Cluster
DCCDC_ONLINE,DB2 Driver Provider CDC (XA),WTS_MH,jdbc/wtsDS_MH,sewtsmn01DmgrNode01/wtsmh,wtsmh,sewtsdb01.cpall.co.th,50000,Cluster
DCCDC_ONLINE,DB2 Driver Provider CDC (XA),adapterMM,comp/env/jdbc/CPSE,sewtsmn01DmgrNode01/infousr,CPICSPRD,sermsdbvip1.cpall.co.th,50000,Cluster
DCCDC_PROCESS,DB2 Driver Provider CDC (XA),WTS_PS,jdbc/wtsDS_PS,sewtsmn01DmgrNode01/wtscdc,wtscdc,sewtsdb01.cpall.co.th,50000,Cluster
DCCDC_PROCESS,DB2 Driver Provider CDC (XA),adapterMM,comp/env/jdbc/CPSE,sewtsmn01DmgrNode01/infousr,CPICSPRD,sermsdbvip1.cpall.co.th,50000,Cluster
DCCDC_SIB,DB2 Driver Provider CDC (XA),WASME,jdbc/WASME,sewtsmn01DmgrNode01/wascdc,wascdc,sewtsdb01.cpall.co.th,50000,Cluster
DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),WTS_RCDC,jdbc/wtsDS_Online,sewtsmn01DmgrNode01/wtsrcdc,wtsrcdc,sewtsdb01.cpall.co.th,50000,Cluster
DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),WTS_GR,jdbc/wtsDS_GR,sewtsmn01DmgrNode01/wtsgr,wtsgr,sewtsdb01.cpall.co.th,50000,Cluster
DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),WTS_MH,jdbc/wtsDS_MH,sewtsmn01DmgrNode01/wtsmh,wtsmh,sewtsdb01.cpall.co.th,50000,Cluster
DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),adapterMM,comp/env/jdbc/CPSE,sewtsmn01DmgrNode01/infousr,CPICSPRD,sermsdbvip1.cpall.co.th,50000,Cluster
DCRCDC_PROCESS,DB2 Driver Provider RCDC (XA),WTS_PS,jdbc/wtsDS_PS,sewtsmn01DmgrNode01/wtsrcdc,wtsrcdc,sewtsdb01.cpall.co.th,50000,Cluster
