Scope,Scope_Name,JDBC_Name,Data_Source_Name,Property_Name,Property_Type,Property_Value,Property_Description
Cluster,DCCDC_ONLINE,DB2 Driver Provider CDC (XA),WTS_CDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCCDC_ONLINE,DB2 Driver Provider CDC (XA),WTS_GR,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCCDC_ONLINE,DB2 Driver Provider CDC (XA),WTS_MH,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCCDC_ONLINE,DB2 Driver Provider CDC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCCDC_PROCESS,DB2 Driver Provider CDC (XA),WTS_PS,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCCDC_PROCESS,DB2 Driver Provider CDC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCCDC_SIB,DB2 Driver Provider CDC (XA),WASME,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),WTS_RCDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),WTS_GR,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),WTS_MH,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCRCDC_PROCESS,DB2 Driver Provider RCDC (XA),WTS_PS,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCRCDC_PROCESS,DB2 Driver Provider RCDC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCRCDC_SIB,DB2 Driver Provider RCDC (XA),WASME,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCPDC_ONLINE,DB2 Driver Provider PDC (XA),WTS_PDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCPDC_ONLINE,DB2 Driver Provider PDC (XA),WTS_GR,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCPDC_ONLINE,DB2 Driver Provider PDC (XA),WTS_MH,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCPDC_ONLINE,DB2 Driver Provider PDC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCPDC_PROCESS,DB2 Driver Provider PDC (XA),WTS_PS,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCPDC_PROCESS,DB2 Driver Provider PDC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCPDC_SIB,DB2 Driver Provider PDC (XA),WASME,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCODC_ONLINE,DB2 Driver Provider ODC (XA),WTS_ODC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCODC_ONLINE,DB2 Driver Provider ODC (XA),WTS_GR,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCODC_ONLINE,DB2 Driver Provider ODC (XA),WTS_MH,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCODC_ONLINE,DB2 Driver Provider ODC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCODC_PROCESS,DB2 Driver Provider ODC (XA),WTS_PS,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCODC_PROCESS,DB2 Driver Provider ODC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCODC_SIB,DB2 Driver Provider ODC (XA),WASME,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCBDC_ONLINE,DB2 Driver Provider BDC (XA),WTS_BDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCBDC_ONLINE,DB2 Driver Provider BDC (XA),WTS_GR,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCBDC_ONLINE,DB2 Driver Provider BDC (XA),WTS_MH,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCBDC_ONLINE,DB2 Driver Provider BDC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCBDC_PROCESS,DB2 Driver Provider BDC (XA),WTS_PS,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCBDC_PROCESS,DB2 Driver Provider BDC (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCBDC_SIB,DB2 Driver Provider BDC (XA),WASME,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_GR,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_CDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_RCDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_PDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_BDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_ODC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_PROCESS,DB2 Driver Provider GR (XA),WTS_PS,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_PROCESS,DB2 Driver Provider GR (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCGRP_SIB,DB2 Driver Provider GR (XA),WASME,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_MH,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_CDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_RCDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_PDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_BDC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_ODC,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),adapterMM,webSphereDefaultIsolationLevel,java.lang.String,2,webSphereDefaultIsolationLevel
