Scope,Cluster_Name,JDBC_Name,Data_Source_Name,MinConnection,MaxConnection,ConnectionTimeout,ReapTime,UnusedTimeout,AgedTimeout,PurgePolicy,RetryInterval,MaxRetries,RerouteServer,ReroutePort,RerouteJNDI
Cluster,DCCDC_ONLINE,DB2 Driver Provider CDC (XA),WTS_CDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCCDC_ONLINE,DB2 Driver Provider CDC (XA),WTS_GR,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCCDC_ONLINE,DB2 Driver Provider CDC (XA),WTS_MH,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCCDC_ONLINE,DB2 Driver Provider CDC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCCDC_PROCESS,DB2 Driver Provider CDC (XA),WTS_PS,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCCDC_PROCESS,DB2 Driver Provider CDC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCCDC_SIB,DB2 Driver Provider CDC (XA),WASME,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),WTS_RCDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),WTS_GR,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),WTS_MH,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCRCDC_ONLINE,DB2 Driver Provider RCDC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCRCDC_PROCESS,DB2 Driver Provider RCDC (XA),WTS_PS,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCRCDC_PROCESS,DB2 Driver Provider RCDC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCRCDC_SIB,DB2 Driver Provider RCDC (XA),WASME,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCPDC_ONLINE,DB2 Driver Provider PDC (XA),WTS_PDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCPDC_ONLINE,DB2 Driver Provider PDC (XA),WTS_GR,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCPDC_ONLINE,DB2 Driver Provider PDC (XA),WTS_MH,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCPDC_ONLINE,DB2 Driver Provider PDC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCPDC_PROCESS,DB2 Driver Provider PDC (XA),WTS_PS,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCPDC_PROCESS,DB2 Driver Provider PDC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCPDC_SIB,DB2 Driver Provider PDC (XA),WASME,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCODC_ONLINE,DB2 Driver Provider ODC (XA),WTS_ODC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCODC_ONLINE,DB2 Driver Provider ODC (XA),WTS_GR,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCODC_ONLINE,DB2 Driver Provider ODC (XA),WTS_MH,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCODC_ONLINE,DB2 Driver Provider ODC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCODC_PROCESS,DB2 Driver Provider ODC (XA),WTS_PS,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCODC_PROCESS,DB2 Driver Provider ODC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCODC_SIB,DB2 Driver Provider ODC (XA),WASME,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCBDC_ONLINE,DB2 Driver Provider BDC (XA),WTS_BDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCBDC_ONLINE,DB2 Driver Provider BDC (XA),WTS_GR,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCBDC_ONLINE,DB2 Driver Provider BDC (XA),WTS_MH,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCBDC_ONLINE,DB2 Driver Provider BDC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCBDC_PROCESS,DB2 Driver Provider BDC (XA),WTS_PS,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
