Cluster_Name,RunAsUser,RunAsGroup,Umask
DCCDC_ONLINE,virtuser,wasgroup,2
DCCDC_PROCESS,virtuser,wasgroup,2
DCCDC_SIB,virtuser,wasgroup,2
DCRCDC_ONLINE,virtuser,wasgroup,2
DCRCDC_PROCESS,virtuser,wasgroup,2
DCRCDC_SIB,virtuser,wasgroup,2
DCPDC_ONLINE,virtuser,wasgroup,2
DCPDC_PROCESS,virtuser,wasgroup,2
DCPDC_SIB,virtuser,wasgroup,2
DCODC_ONLINE,virtuser,wasgroup,2
DCODC_PROCESS,virtuser,wasgroup,2
DCODC_SIB,virtuser,wasgroup,2
DCGRP_ONLINE,virtuser,wasgroup,2
DCGRP_PROCESS,virtuser,wasgroup,2
DCGRP_SIB,virtuser,wasgroup,2
DCMH_ONLINE,virtuser,wasgroup,2
DCMH_PROCESS,virtuser,wasgroup,2
DCMH_SIB,virtuser,wasgroup,2
DCBDC_ONLINE,virtuser,wasgroup,2
DCBDC_PROCESS,virtuser,wasgroup,2
DCBDC_SIB,virtuser,wasgroup,2
Dmgr,virtuser,wasgroup,2
dmgr,virtuser,wasgroup,2
nodeagent,virtuser,wasgroup,2
Nodeagent,virtuser,wasgroup,2
NodeAgent,virtuser,wasgroup,2
