BusName,DestName,Point1,Point2
WTS.BDC.BUS,WTS.TO.IWTS.BO.BDC.QUEUE,EAI_QM,IWTS.BO.BDC
WTS.BDC.BUS,WTS.TO.IWTS.DC.BDC.QUEUE,EAI_QM,IWTS.DC.BDC
WTS.CDC.BUS,WTS.TO.IWTS.BO.CDC.QUEUE,EAI_QM,IWTS.BO.CDC
WTS.CDC.BUS,WTS.TO.IWTS.DC.CDC.QUEUE,EAI_QM,IWTS.DC.CDC
WTS.RCDC.BUS,WTS.TO.IWTS.BO.RCDC.QUEUE,EAI_QM,IWTS.BO.RCDC
WTS.RCDC.BUS,WTS.TO.IWTS.DC.RCDC.QUEUE,EAI_QM,IWTS.DC.RCDC
WTS.PDC.BUS,WTS.TO.IWTS.BO.PDC.QUEUE,EAI_QM,IWTS.BO.PDC
WTS.PDC.BUS,WTS.TO.IWTS.DC.PDC.QUEUE,EAI_QM,IWTS.DC.PDC
WTS.ODC.BUS,WTS.TO.IWTS.BO.ODC.QUEUE,EAI_QM,IWTS.BO.ODC
WTS.ODC.BUS,WTS.TO.IWTS.DC.ODC.QUEUE,EAI_QM,IWTS.DC.ODC
WTS.GRP.BUS,WTS.TO.IWTS.BO.GRP.QUEUE,EAI_QM,IWTS.BO.GRP
WTS.GRP.BUS,WTS.TO.IWTS.DC.GRP.QUEUE,EAI_QM,IWTS.DC.GRP
WTS.MH.BUS,WTS.TO.IWTS.BO.MH.QUEUE,EAI_QM,IWTS.BO.MH
WTS.MH.BUS,WTS.TO.IWTS.DC.MH.QUEUE,EAI_QM,IWTS.DC.MH
